F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
24759,21205374,107,40.76761,-73.93567,2,185,301,9,8,0.42,63
31204,26871208,154,40.68706,-73.94368,2,100,181,9,7,0.48,101
2133,1101224,154,40.68674,-73.93845,2,182,334,9,29,0.37,212
3377,2201581,154,40.69587,-73.94037,2,85,353,9,10,0.21,2
10083,8272818,111,40.67804,-73.90997,2,469,329,9,7,0.15,167
33190,28838780,111,40.69632,-73.98454,2,90,343,9,2,0.18,1
4694,3623201,111,40.66981,-73.98462,2,94,356,9,27,0.49,0
15089,13000007,111,40.68985,-73.99311,2,90,358,9,21,0.82,1
29638,25101744,111,40.68057,-73.95249,2,113,359,9,8,0.45,2
17867,15187369,174,40.72173,-73.98282,2,150,346,9,4,0.11,0
1990,982038,165,40.68859,-73.9729,2,130,164,9,5,0.06,290
16457,13814227,120,40.82822,-73.94864,2,76,354,9,30,0.76,0
1643,790767,12,40.72877,-73.98794,2,250,209,9,3,0.2,76
19347,16431249,12,40.74092,-73.97993,2,190,333,9,5,0.17,0
10749,8900026,12,40.74339,-73.99414,2,450,341,9,2,0.04,7
16978,14185610,12,40.75601,-73.96625,2,115,354,9,30,0.75,61
30611,26254270,122,40.7055,-73.9046,2,62,352,9,3,0.19,0
17666,14976368,126,40.71156,-73.95454,2,150,49,9,16,0.41,352
5527,4315934,154,40.6792,-73.90937,2,75,57,10,2,0.08,336
3195,2079765,154,40.68171,-73.92085,2,110,115,10,60,0.88,337
2240,1185525,111,40.63719,-74.03489,2,90,9,10,41,0.53,88
5456,4263802,111,40.68562,-73.9693,2,165,11,10,43,0.69,338
13236,10801094,111,40.68729,-73.96995,2,225,11,10,16,0.37,340
8295,6798068,111,40.70995,-73.96609,2,102,22,10,9,0.2,213
2710,1704210,111,40.64928,-73.97538,2,125,26,10,53,0.7,18
6078,4718436,111,40.71751,-73.95839,2,475,56,10,28,0.46,330
8404,6898600,111,40.61679,-73.95521,2,89,79,10,6,0.11,250
4309,3236385,111,40.64811,-74.01366,2,100,146,10,3,0.11,81
4117,3010664,111,40.67553,-73.96376,2,350,162,10,16,0.25,49
5385,4209106,111,40.68526,-73.97154,2,125,192,10,11,0.18,136
24353,20916679,111,40.69072,-73.96539,2,165,196,10,6,0.23,323
6303,4828336,111,40.68515,-73.91981,2,130,286,10,34,0.67,132
7571,6242355,111,40.71046,-73.96054,2,184,303,10,1,0.02,62
25167,21457933,111,40.72168,-73.94336,2,180,328,10,4,0.17,107
25168,21457989,111,40.68499,-73.9616,2,200,360,10,5,0.2,0
1684,805028,111,40.68418,-73.98039,2,250,362,10,13,0.2,0
11464,9469009,55,40.69395,-73.92418,2,69,72,10,11,0.24,341
7838,6448950,16,40.68144,-73.99309,2,135,227,10,7,0.13,0
20050,17223109,67,40.73977,-73.99938,2,210,348,10,9,0.6,71
8835,7244171,137,40.6752,-73.89218,2,90,337,10,54,1.01,351
2494,1445977,174,40.7262,-73.97913,2,232,177,10,2,0.03,218
21559,18790004,174,40.72791,-73.98929,2,150,357,10,5,0.19,0
27246,22583959,120,40.82824,-73.94525,2,100,353,10,2,0.11,166
27952,23342782,65,40.80381,-73.95055,2,125,332,10,10,0.48,60
29256,24709525,65,40.80921,-73.95762,2,110,356,10,21,1.09,25
34866,30183115,115,40.76186,-73.99737,2,150,304,10,4,0.33,0
18682,16028015,12,40.7635,-73.97677,2,700,26,10,24,1.43,331
6528,5006113,12,40.72177,-74.00356,2,760,33,10,1,0.04,335
12880,10314411,12,40.74234,-74.00032,2,1731,70,10,85,2.43,7
27808,23154138,12,40.7216,-73.98959,2,140,126,10,8,0.51,80
19738,16793429,12,40.71909,-73.99562,2,150,188,10,15,0.55,23
15645,13346741,12,40.79426,-73.96914,2,200,241,10,4,0.11,241
2151,1117349,12,40.73472,-74.00479,2,180,278,10,3,0.04,82
1982,976242,12,40.7282,-73.98893,2,170,324,10,37,0.45,15
18375,15742916,12,40.71819,-73.99786,2,196,332,10,6,0.17,262
